"DeviceDesignator","Address","IoDesignator","Type","English","Chinese"
"=000+S-K010A1","1","_000S901","1","Control On","控制上电"
"=000+S-K010A1","2","_000S902","1","Control Off","控制下电"
"=000+S-K010A1","3","","1","",""
"=000+S-K010A1","4","","1","",""
"=000+S-K010A1","5","","1","",""
"=000+S-K010A1","6","_000B085A_LOW","1","primary MAX < 0.3bar","primary MAX < 0.3bar"
"=000+S-K010A1","7","_000B085A_HIGH","1","primary MAX > 4.5bar","primary MAX > 4.5bar"
"=000+S-K010A1","8","_000S610","1","Start button","Start button"
"=000+S-K010A2","1","_000S900A","1","External Emergency Stop 1 actuated","外部急停1"
"=000+S-K010A2","2","_000S900B","1","External Emergency Stop 2 actuated","外部急停2"
"=000+S-K010A2","3","","1","",""
"=000+S-K010A2","4","","1","",""
"=000+S-K010A2","5","","1","",""
"=000+S-K010A2","6","","1","",""
"=000+S-K010A2","7","_000K911_Y32","1","Emergency stop relay feedback OK",""
"=000+S-K010A2","8","_000K981_Y32","1","Maintenance door relay feedback OK",""
"=000+S-K010A3","1","_000K980_A","1","Maintenance door A closed",""
"=000+S-K010A3","2","_000K981_B","1","Maintenance door B closed",""
"=000+S-K010A3","3","_000K913_Y32","1","Safety door relay feedback OK",""
"=000+S-K010A3","4","","1","",""
"=000+S-K010A3","5","_000K912_Y32","1","All safety circuit relay feedback OK",""
"=000+S-K010A3","6","_100B101B","1","Safety door at top","安全门在上位"
"=000+S-K010A3","7","_100B101A","1","Safety door at bottom","安全门在低位"
"=000+S-K010A3","8","_100B701","1","Product Sensor detect/ left","左侧产品检测传感器"
"=000+S-K010A4","1","_100B601","1","Fixture1 position sensor left","左侧位置传感器"
"=000+S-K010A4","2","_100B602","1","Fixture2 position sensor middle","中间位置传感器"
"=000+S-K010A4","3","_100B603","1","Fixture2 position sensor right","右位置传感器"
"=000+S-K010A4","4","_100B604","1","Laser sensor 1","1#激光传感器"
"=000+S-K010A4","5","_100B605","1","Laser sensor 2","2#激光传感器"
"=000+S-K010A4","6","_100B102B","1","Press cylinder at top","下压气缸在上位"
"=000+S-K010A4","7","_100B102A","1","Press cylinder at down","下压气缸在下位"
"=000+S-K010A4","8","_100B702","1","Product Sensor detect/ right","右侧产品检测传感器"
"=000+S-K010C1","1","_000K911","2","K911 enabled","上电允许"
"=000+S-K010C1","2","_000K951","2","Bus ON","Bus ON"
"=000+S-K010C1","3","_000P901","2","Control on lamp","Control on lamp"
"=000+S-K010C1","4","_000K980","2","100K980 A door lock","100K980 door lock"
"=000+S-K010C1","5","_000K981","2","100K981 B door lock","100K981 door lock"
"=000+S-K010C1","6","","2","",""
"=000+S-K010C1","7","_000P610","2","Start button lamp","开始按钮灯"
"=000+S-K010C1","8","_000K085A","2","Master air valve","主气阀"
"=000+S-K010C2","1","_000P960_1","2","Lamp colour yellow","黄色塔灯"
"=000+S-K010C2","2","_000P960_2","2","Lamp colour green","绿色塔灯"
"=000+S-K010C2","3","_000P960_3","2","Lamp colour red","红色塔灯"
"=000+S-K010C2","4","_100K102B","2","Press cylinder up","下压气缸上升"
"=000+S-K010C2","5","_100K102A","2","Press cylinder down","下压气缸下降"
"=000+S-K010C2","6","_100K101B","2","safety door up","安全门上升"
"=000+S-K010C2","7","_100K101A","2","safety door down","安全门下降"
"=000+S-K010C2","8","","2","",""
"=000+S-K010C3","1","","2","",""
"=000+S-K010C3","2","","2","",""
"=000+S-K010C3","3","","2","",""
"=000+S-K010C3","4","","2","",""
"=000+S-K010C3","5","","2","",""
"=000+S-K010C3","6","","2","",""
"=000+S-K010C3","7","","2","",""
"=000+S-K010C3","8","","2","",""
